lam,seed,arb_total_profit,arb_final_wealth,arbitrage_found_rounds,participation_rounds
0.0,0,8.664541235777454,18.664541235777463,787,787
0.0,1,1.7100504642614127,11.710050464261418,769,769
0.0,2,12.089951253588715,22.089951253588705,754,754
0.0,3,14.51069051752151,24.510690517521525,772,772
0.0,4,10.815148223516227,20.81514822351621,701,701
0.0,5,10.768212796625338,20.76821279662534,822,822
0.0,6,14.414045693532689,24.4140456935327,837,837
0.0,7,8.534240410696624,18.5342404106966,791,791
0.0,8,19.83009247578283,29.830092475782816,587,587
0.0,9,8.515532060701146,18.515532060701116,763,763
0.0,10,11.970161455381115,21.97016145538109,824,824
0.0,11,16.91571442777107,26.91571442777105,723,723
0.0,12,12.010320784337443,22.010320784337452,809,809
0.0,13,8.680206517632637,18.680206517632627,841,841
0.0,14,13.088276397268523,23.08827639726851,736,736
0.0,15,9.345188904343846,19.345188904343875,810,810
0.0,16,6.801445351524,16.801445351524013,780,780
0.0,17,10.828149018486394,20.828149018486435,803,803
0.0,18,8.362437455772843,18.36243745577285,763,763
0.0,19,25.77469617619005,35.77469617619005,802,802
0.1,0,9.835734875299078,19.835734875299078,787,787
0.1,1,2.937000413999927,12.937000413999902,778,778
0.1,2,12.255891904195352,22.255891904195316,747,747
0.1,3,14.98523186275474,24.985231862754745,773,773
0.1,4,13.760017887109248,23.760017887109246,708,708
0.1,5,12.58168194971423,22.581681949714195,822,822
0.1,6,15.0232826579038,25.02328265790381,838,838
0.1,7,10.428061927400943,20.428061927400933,789,789
0.1,8,23.416656537164585,33.41665653716464,585,585
0.1,9,10.58296612331306,20.582966123313053,763,763
0.1,10,13.564227519807623,23.564227519807638,828,828
0.1,11,18.677665261173097,28.677665261173118,724,724
0.1,12,14.56889256777318,24.56889256777315,803,803
0.1,13,9.539751967740049,19.53975196774005,841,841
0.1,14,17.756998475125013,27.756998475124984,727,727
0.1,15,10.560831209406796,20.560831209406725,809,809
0.1,16,7.917054760931661,17.917054760931652,783,783
0.1,17,11.929448049742335,21.929448049742337,805,805
0.1,18,9.505365336991053,19.505365336991034,764,764
0.1,19,28.121784604035327,38.12178460403531,786,786
0.3,0,13.106715716647756,23.10671571664773,774,774
0.3,1,5.452008829762713,15.452008829762718,788,788
0.3,2,13.164769290365136,23.16476929036509,750,750
0.3,3,18.706681625261073,28.70668162526106,774,774
0.3,4,18.304933454625974,28.304933454625896,714,714
0.3,5,11.885282040472433,21.885282040472493,818,818
0.3,6,15.649584364756885,25.649584364756883,830,830
0.3,7,14.272707949103143,24.272707949103157,789,789
0.3,8,26.673767545723365,36.67376754572333,588,588
0.3,9,13.034567580350625,23.034567580350622,756,756
0.3,10,15.133140365071018,25.13314036507102,821,821
0.3,11,24.17836822596072,34.17836822596071,733,733
0.3,12,18.12858220999891,28.12858220999893,782,782
0.3,13,11.868188508438871,21.86818850843889,842,842
0.3,14,20.711444710315476,30.711444710315455,716,716
0.3,15,13.788508026074553,23.788508026074528,818,818
0.3,16,9.108972192521769,19.10897219252176,777,777
0.3,17,15.616748545308646,25.616748545308674,800,800
0.3,18,12.80296840118711,22.80296840118712,758,758
0.3,19,32.9014085682648,42.90140856826473,767,767
0.5,0,15.35132111824473,25.351321118244687,766,766
0.5,1,8.417411181841342,18.41741118184134,785,785
0.5,2,16.204744695988346,26.204744695988353,742,742
0.5,3,20.89792673203884,30.897926732038826,772,772
0.5,4,20.879097897122207,30.879097897122186,723,723
0.5,5,13.988862870247281,23.988862870247264,819,819
0.5,6,19.55275891896276,29.552758918962752,817,817
0.5,7,16.7114598376815,26.711459837681485,791,791
0.5,8,32.42609437588528,42.426094375885235,592,592
0.5,9,13.877456729888518,23.877456729888518,750,750
0.5,10,18.201858349603377,28.20185834960335,817,817
0.5,11,26.66621018157223,36.66621018157221,732,732
0.5,12,23.0209188416957,33.02091884169572,770,770
0.5,13,14.672452236556996,24.672452236557028,842,842
0.5,14,22.394909491076838,32.394909491076824,703,703
0.5,15,18.211692682517228,28.211692682517256,823,823
0.5,16,10.679133494061752,20.679133494061755,764,764
0.5,17,19.450847517037296,29.450847517037282,792,792
0.5,18,14.174408945798046,24.174408945798046,759,759
0.5,19,35.54415302328698,45.54415302328702,735,735
0.8,0,18.403359467369093,28.403359467369107,758,758
0.8,1,12.19836388742721,22.198363887427167,779,779
0.8,2,18.08051032336926,28.08051032336924,729,729
0.8,3,22.225482813085403,32.22548281308538,754,754
0.8,4,25.658397637763628,35.65839763776363,737,737
0.8,5,14.691808107242903,24.691808107242913,816,816
0.8,6,24.609427799476443,34.60942779947646,816,816
0.8,7,19.87344819875802,29.873448198758012,789,789
0.8,8,40.09307852548234,50.0930785254823,607,607
0.8,9,13.776855358513146,23.77685535851311,735,735
0.8,10,22.481452410161516,32.48145241016157,804,804
0.8,11,30.902221278480745,40.902221278480795,720,720
0.8,12,26.82734115011634,36.827341150116375,752,752
0.8,13,17.760509197611874,27.760509197611874,840,840
0.8,14,22.68682741533227,32.68682741533232,691,691
0.8,15,22.11703945127183,32.11703945127186,822,822
0.8,16,13.155038993627251,23.155038993627286,758,758
0.8,17,23.16756640197864,33.167566401978654,789,789
0.8,18,18.876421194775453,28.876421194775475,752,752
0.8,19,41.62097081404324,51.62097081404324,707,707
1.0,0,20.22786878044795,30.227868780447977,757,757
1.0,1,12.46399194554714,22.463991945547093,773,773
1.0,2,15.036796998474063,25.036796998474045,722,722
1.0,3,23.571697790953998,33.57169779095399,746,746
1.0,4,28.57185447916224,38.571854479162226,752,752
1.0,5,17.581460174244402,27.581460174244388,814,814
1.0,6,26.292948528876845,36.29294852887686,805,805
1.0,7,22.259123589045522,32.259123589045565,784,784
1.0,8,44.446923094259546,54.44692309425953,628,628
1.0,9,15.868906204258092,25.86890620425814,719,719
1.0,10,23.973364399499673,33.97336439949977,804,804
1.0,11,33.355413133900996,43.355413133900996,717,717
1.0,12,28.483997039497673,38.48399703949769,731,731
1.0,13,19.30390462728686,29.303904627286833,840,840
1.0,14,22.508424761322374,32.50842476132239,681,681
1.0,15,22.445697593800624,32.44569759380065,826,826
1.0,16,15.261162100293763,25.26116210029374,747,747
1.0,17,26.520314468934195,36.52031446893426,784,784
1.0,18,20.68725506045981,30.68725506045984,751,751
1.0,19,45.52658051846416,55.52658051846413,680,680
