t,crps_uniform,crps_uniform_cum,crps_deposit,crps_deposit_cum,crps_skill,crps_skill_cum,crps_mechanism,crps_mechanism_cum,crps_best_single,crps_best_single_cum
0,0.046261213167073156,0.046261213167073156,0.04626121316707312,0.04626121316707312,0.04626121316707312,0.04626121316707312,0.04626121316707314,0.04626121316707314,0.017331359709559055,0.017331359709559055
1,0.03841163367113882,0.042336423419105984,0.03834748408549286,0.04230434862628299,0.0383500186769624,0.04230561592201776,0.03823161145173272,0.04224641230940293,0.05729784718962831,0.037314603449593683
2,0.043763264895458245,0.04281203724455673,0.043623450115054294,0.042744049122540095,0.04352574570988241,0.04271232585130597,0.04317660586390646,0.04255647682757077,0.028895652883064726,0.03450828659408403
3,0.08110299106488432,0.05238477569963863,0.08089929381529062,0.05228286029572773,0.08063681832152057,0.05219344896885962,0.08002514870927394,0.05192364479799656,0.041808043815672866,0.036333225899481236
4,0.052748544580169775,0.052457529475744856,0.052678815176023276,0.052362051271786836,0.052652764942003064,0.05228531216348831,0.05249243481544215,0.05203740280148568,0.027320135393565877,0.03453060779829816
5,0.04015532750224183,0.05040716248016102,0.039998703600698814,0.050301493326605495,0.04001301881960673,0.05023992993950804,0.03972161889991778,0.049984772151224356,0.010055992565760119,0.030451505259541822
6,0.04668470227041958,0.04987538245019796,0.04643817990752333,0.04974959140959375,0.046437121278436445,0.04969667155935496,0.045967961763828905,0.04941094209588215,0.028862049262621824,0.03022444011712468
7,0.09324370065960183,0.055296422226373446,0.09243311520779177,0.0550850318843685,0.09226983195730862,0.05501831660909917,0.0906106214940668,0.05456090202065523,0.04403237698007525,0.0319504322249935
8,0.040879500486397706,0.05369454203304281,0.040636122946261226,0.05347959755791214,0.04063056841888316,0.0534196779212974,0.04056413334506527,0.05300570550114523,nan,nan
9,0.044513889481555394,0.052776476777894064,0.04431775597470912,0.05256341339959184,0.044323937175236736,0.052510103846691324,0.04394586563711495,0.0520997215147422,0.01223159758133978,0.029759450597920862
10,0.05167047892087005,0.05267593151816461,0.0508340818810041,0.052406201443356594,0.05078184879847891,0.052352989751399286,0.049218608934253054,0.051837802189243186,0.014210196182979312,0.028204525156426706
11,0.04438848845449362,0.05198531126285869,0.043862988402065275,0.05169426702324898,0.04384108658298453,0.05164366448736473,0.04281108503183762,0.051085575759459385,0.014865029002720012,0.026991843687907916
12,0.05683705533379524,0.052358522345238426,0.056294218229950066,0.05204810942376445,0.05634150472006798,0.05200503681295728,0.05618491592283483,0.05147783269510365,nan,nan
13,0.04592753275829403,0.05189916594617098,0.0452280079568613,0.051560959318985654,0.0452045665593491,0.05151928893769956,0.043819615855213184,0.050930817206540045,nan,nan
14,0.04336572397854409,0.05133026981499585,0.042557355379336054,0.05096071905634235,0.042507536580635254,0.050918505447228604,0.040976422817759366,0.05026719091395467,0.01439375949082411,0.025942003338150933
15,0.06583928544734949,0.052237083292017955,0.06482245503319047,0.05182707755489536,0.06439392380367068,0.05176071909450623,0.06213784519478298,0.051009106806506437,0.028867317569205943,0.02616702750977055
16,0.026115637801059067,0.050700527674902726,0.02614066947013515,0.05031611237343887,0.02621767409240001,0.05025818703555881,0.02628680048762012,0.04955485349363077,0.04299471892561643,0.027369005468045254
17,0.049730543834292165,0.0506466396837577,0.04922066967828702,0.05025525444593044,0.04930100688213727,0.05020501036036872,0.04836968037430794,0.04948901054255728,0.013279129449193341,0.026429680400121794
18,0.026510932292940537,0.04937633929476732,0.02581542579239975,0.048968947674691975,0.025954729911321844,0.04892867981041889,0.024739032144599094,0.04818638010055948,0.002895673119470662,0.024958804945081098
19,0.16977411601470585,0.055396228130764245,0.1644717967658778,0.054744090129251265,0.1655486623310483,0.05475967893645036,0.15649364491989037,0.05360174334152602,0.0069433179837433785,0.023899070417943584
20,0.039294046505985905,0.054629457577203375,0.0378840692809544,0.053941231993618076,0.037710718515508536,0.053947823678310275,0.03494501870768515,0.05271332788277169,0.0030552565116415365,0.02274108075648236
21,0.04375877874413313,0.05413533581206382,0.04346518733755743,0.05346504814561532,0.04335188947609831,0.053466190305482456,0.042701461452458525,0.05225824304503019,nan,nan
22,0.04610856187499378,0.05378634564088686,0.04576509747208975,0.05313026768154899,0.045963433860655954,0.05313998350353348,0.04516857496636893,0.051949996606827524,0.007157870566174141,0.021920911799097713
23,0.038306092867012836,0.05314133510864211,0.038014064768597186,0.05250042589350933,0.03820726278169591,0.05251778680679025,0.03780053166961843,0.05136043556777714,0.035495275763176445,0.02259962999730165
24,0.038427518714040425,0.052552782452858035,0.03843687108551251,0.05193788370118946,0.03844123178115218,0.051954724605764724,0.038488952464261254,0.05084557624363651,nan,nan
25,0.06151796287288473,0.05289759708439753,0.06078514362344646,0.05227816292896858,0.06119471290923987,0.052310108771283,0.06013201478653668,0.05120274695682498,nan,nan
26,0.03561519673217993,0.05225750818246354,0.03506505569841514,0.05164064043894808,0.03511637959622775,0.05167330398702169,0.03395197367475351,0.05056382942785937,0.0011036651076053565,0.021576012621601828
27,0.05497451917136877,0.05235454428921016,0.05316690096537161,0.05169514974346321,0.05371444289812569,0.05174620180527541,0.05068448585755838,0.050568138586062905,0.013054007553334152,0.021188648754862385
28,0.0586260784854696,0.05257080408908117,0.05711722644407208,0.051882117905553166,0.05770479048516088,0.051951670380443876,0.055110477736487196,0.050724770970560294,0.023104065383208937,0.02127192773870354
29,0.04639160087201818,0.052364830648512405,0.046246618333178474,0.051694267919807343,0.04622559039366237,0.05176080104755116,0.04584288626610959,0.05056204148041194,0.031864720581049034,0.0217132941071346
30,0.03877238884947274,0.051926364784027255,0.03795705484400645,0.05125113201413635,0.037988520546561384,0.051316533934616,0.036348713190516815,0.05010354701944758,0.00439911998137028,0.02102072714210403
31,0.04884847990403443,0.05183018088152748,0.047746064150976306,0.0511415986434126,0.048262117640077914,0.051221083425411686,0.046989230074273504,0.050006224614910895,0.016959002407055165,0.020864506959986765
32,0.04964392129975766,0.05176393059117082,0.04856648168922918,0.05106356479631613,0.048888669777019576,0.05115040422394526,0.047191148003598034,0.04992091926305293,nan,nan
33,0.04023164768136637,0.05142474579970598,0.0381175220328007,0.050682798832683326,0.03918703715175694,0.05079854048652795,0.03616711144245812,0.049516395503623675,0.011250144013134466,0.020508419443436683
34,0.037553051569247486,0.05102841167883574,0.03741366364913248,0.050303680684581874,0.03760578255157575,0.05042160454552932,0.037413122763744935,0.04917058771105571,nan,nan
35,0.06511425909780462,0.05141968521825155,0.06273356326585844,0.05064895520072844,0.06327704670493783,0.050778700161068446,0.059080330914059544,0.04944585835558359,0.01195949616166252,0.02020310075480189
36,0.05083549474665996,0.05140389628658691,0.049992473566375414,0.05063121245385404,0.05066295516252678,0.050775571917864616,0.049537076149234215,0.04944832370135793,0.04542964879164359,0.021072981721589532
37,0.05554342883011587,0.05151283135352189,0.053076680764279474,0.05069556688307576,0.0544675710157521,0.050872729788861655,0.05094294075251493,0.04948765572901996,0.017677299366748608,0.020959792309761503
38,0.0500174153172885,0.05147448735259282,0.04863955188563022,0.050642848549807926,0.04939375167861547,0.050834807273214315,0.04728095903070637,0.049431073762396534,0.013634784845801254,0.020723501746407944
39,0.04488361599953107,0.051309715568766276,0.044162149782568466,0.05048083108062694,0.04459786847681651,0.050678883803304375,0.043603950372985346,0.049285395677661256,nan,nan
40,0.046883914330286804,0.05120176919709605,0.04587195166631878,0.05036841938759503,0.04627851782454172,0.05057155780382235,0.044635603874424425,0.04917198612148475,0.014769911770221666,0.020537452059652125
41,0.046645157158193694,0.051093278434265046,0.045128358784756024,0.050243656039908394,0.04585728185105564,0.05045931313828029,0.04354152387145517,0.04903792749648404,0.015601931084267367,0.0203878908179738
42,0.0775311800942903,0.05170811335659121,0.07419953081758632,0.05080076940683114,0.07529621502006936,0.05103691550762423,0.06984792622704672,0.049521880955334344,0.006819208299768134,0.019988811920379514
43,0.05307272286738028,0.05173912720910914,0.05326785277901426,0.050856839483471666,0.053322378956945325,0.05108885785874517,0.05370162272078453,0.0496168750863673,nan,nan
44,0.07423079041505608,0.05223894194701908,0.06898910103238544,0.051259778629003085,0.07204363546788659,0.05155451958339275,0.06481359935756842,0.04995458007017177,0.009095615727691964,0.01967757774344558
45,0.02802099835215984,0.051712464912348224,0.026564283219975837,0.050722920033154664,0.027302083032417636,0.05102729270184981,0.025202160830067082,0.049416483999734716,0.006442361697842272,0.019309932853289934
46,0.037567297544194855,0.05141150390451517,0.0360865485681389,0.050411507874324545,0.03687353876824358,0.05072614900113479,0.0347334277666131,0.04910407854796617,0.013487924791771804,0.019152581284059715
47,0.03811380523160735,0.05113446851549625,0.03816620948173456,0.05015639749114559,0.03842362258965698,0.050469846367562334,0.0385391285855715,0.048883975423749615,0.020647848413066997,0.019191930419033592
48,0.044437523060150655,0.05099779615926471,0.04279037550294611,0.05000607051179458,0.04347913388584254,0.050327178765894584,0.04092922774695298,0.04872163363442723,0.013417742914029526,0.019043874329161693
