k,seed,total_arbitrage_profit,mean_n_eff,arbitrage_found_rounds
1,0,11.460698192584235,2.357627490803768,775
3,0,11.46069819258426,4.932548257710742,775
5,0,11.46069819258424,6.9692564801363215,775
1,1,4.425118509860853,3.0641480451510588,786
3,1,4.425118509860839,5.199334202104673,786
5,1,4.425118509860853,6.3008427593094005,786
1,2,11.341462395129973,3.1076392991621256,748
3,2,11.341462395129987,4.239162876193828,748
5,2,11.341462395129954,4.706483375528666,748
1,3,15.002393921349066,2.868222768199109,769
3,3,15.002393921349098,4.099559295359803,769
5,3,15.002393921349169,4.651428407319539,769
1,4,13.85697623195729,3.04135700801122,706
3,4,13.856976231957256,4.72841549246059,706
5,4,13.856976231957164,5.504752274887318,706
1,5,8.860937502394334,3.5126797399054235,823
3,5,8.860937502394309,5.171832838084282,823
5,5,8.860937502394329,5.86612933831036,823
1,6,12.6222866121187,3.2641896494674243,828
3,6,12.622286612118717,5.972822659530727,828
5,6,12.622286612118577,7.516550180156761,828
1,7,11.560753513262018,3.564739476863144,786
3,7,11.56075351326204,5.662767955629118,786
5,7,11.560753513261973,6.634654212526963,786
1,8,20.02696861685701,2.8764953934608295,587
3,8,20.026968616857022,3.9515272247115676,587
5,8,20.026968616857186,4.453917794844406,587
1,9,10.995474720331574,2.769483003949501,755
3,9,10.995474720331586,4.879464594410027,755
5,9,10.99547472033163,6.104443537842835,755
1,10,12.311612414757231,3.4167880991455095,818
3,10,12.311612414757262,5.949798601888199,818
5,10,12.3116124147572,7.258869708132857,818
1,11,18.765291174461762,2.837511024514028,723
3,11,18.765291174461684,4.409075696031885,723
5,11,18.765291174461648,5.170984001376927,723
1,12,14.522668839968699,3.62753938739779,785
3,12,14.522668839968736,5.681144186905627,785
5,12,14.52266883996866,6.62542966566688,785
1,13,9.517305730073856,3.2837544991993135,840
3,13,9.517305730073863,4.62836187402849,840
5,13,9.517305730073856,5.213023188479465,840
1,14,16.856392261189658,3.246013717096332,708
3,14,16.856392261189633,4.620876709525788,708
5,14,16.856392261189665,5.262586154926323,708
1,15,11.330120283675111,3.7967013524393236,815
3,15,11.33012028367513,6.321134968601766,815
5,15,11.330120283675075,7.531186428696204,815
1,16,7.681703197949691,4.192837032777717,778
3,16,7.681703197949694,5.780456847290388,778
5,16,7.681703197949665,6.353981778993158,778
1,17,12.937533138059134,3.2765812876000378,799
3,17,12.93753313805914,5.412659802210063,799
5,17,12.937533138059136,6.454385435609127,799
1,18,10.508457739140436,2.8189010520008297,757
3,18,10.50845773914043,4.244800349059868,757
5,18,10.50845773914033,4.967958245065429,757
1,19,25.63607044701988,3.3729795703748215,765
3,19,25.636070447019826,5.122967101157974,765
5,19,25.63607044701976,5.93568016174776,765
