scenario,seed,total_activity,n_rounds,inflation_rate,wash_profit
no_wash,0,4533,1000,0.0,0.0
no_wash,1,4274,1000,0.0,0.0
no_wash,2,3954,1000,0.0,0.0
no_wash,3,4402,1000,0.0,0.0
no_wash,4,4438,1000,0.0,0.0
no_wash,5,4217,1000,0.0,0.0
no_wash,6,4945,1000,0.0,0.0
no_wash,7,4470,1000,0.0,0.0
no_wash,8,4663,1000,0.0,0.0
no_wash,9,4332,1000,0.0,0.0
no_wash,10,4595,1000,0.0,0.0
no_wash,11,4240,1000,0.0,0.0
no_wash,12,4673,1000,0.0,0.0
no_wash,13,4504,1000,0.0,0.0
no_wash,14,5024,1000,0.0,0.0
no_wash,15,4460,1000,0.0,0.0
no_wash,16,4532,1000,0.0,0.0
no_wash,17,4035,1000,0.0,0.0
no_wash,18,4432,1000,0.0,0.0
no_wash,19,5122,1000,0.0,0.0
wash_k3_anchor,0,7533,1000,0.6618133686300464,14.419951466457567
wash_k3_anchor,1,7274,1000,0.7019185774450164,7.4992114538632375
wash_k3_anchor,2,6954,1000,0.7587253414264037,14.168728903383803
wash_k3_anchor,3,7402,1000,0.6815084052703316,16.806216872259185
wash_k3_anchor,4,7438,1000,0.67598017124831,17.717912057087688
wash_k3_anchor,5,7217,1000,0.7114062129475931,8.057516323476417
wash_k3_anchor,6,7945,1000,0.6066734074823054,16.10509077294357
wash_k3_anchor,7,7470,1000,0.6711409395973155,16.205190441353707
wash_k3_anchor,8,7663,1000,0.6433626420759168,30.16917721860772
wash_k3_anchor,9,7332,1000,0.6925207756232687,10.260015133545688
wash_k3_anchor,10,7595,1000,0.6528835690968444,7.81617364810433
wash_k3_anchor,11,7240,1000,0.7075471698113207,19.312114009599632
wash_k3_anchor,12,7673,1000,0.6419858763107211,13.668231047414661
wash_k3_anchor,13,7504,1000,0.6660746003552398,8.529319051572543
wash_k3_anchor,14,8024,1000,0.5971337579617835,22.36895938981575
wash_k3_anchor,15,7460,1000,0.672645739910314,14.576299602812547
wash_k3_anchor,16,7532,1000,0.6619593998234775,9.886621744642047
wash_k3_anchor,17,7035,1000,0.7434944237918215,13.658865600083645
wash_k3_anchor,18,7432,1000,0.6768953068592057,8.320277622377708
wash_k3_anchor,19,8122,1000,0.5857087075361187,24.738396303515604
wash_k5_split,0,9533,1000,1.1030222810500772,-223.19529038460794
wash_k5_split,1,9274,1000,1.169864295741694,-254.86388080837708
wash_k5_split,2,8954,1000,1.2645422357106728,-264.5245646760458
wash_k5_split,3,9402,1000,1.1358473421172195,-261.5745372591123
wash_k5_split,4,9438,1000,1.1266336187471835,-251.07693363090536
wash_k5_split,5,9217,1000,1.1856770215793218,-271.11247013783367
wash_k5_split,6,9945,1000,1.0111223458038423,-260.39283149459567
wash_k5_split,7,9470,1000,1.1185682326621924,-264.90109954361606
wash_k5_split,8,9663,1000,1.072271070126528,-270.76564109177116
wash_k5_split,9,9332,1000,1.154201292705448,-252.97684180185007
wash_k5_split,10,9595,1000,1.088139281828074,-265.37743522005405
wash_k5_split,11,9240,1000,1.179245283018868,-257.4352861941162
wash_k5_split,12,9673,1000,1.0699764605178685,-255.8955997915693
wash_k5_split,13,9504,1000,1.1101243339253997,-281.2527905042983
wash_k5_split,14,10024,1000,0.9952229299363057,-259.59620329758167
wash_k5_split,15,9460,1000,1.1210762331838564,-271.0367567882987
wash_k5_split,16,9532,1000,1.1032656663724625,-277.0214865380913
wash_k5_split,17,9035,1000,1.2391573729863692,-269.8507160833253
wash_k5_split,18,9432,1000,1.128158844765343,-255.78056446198275
wash_k5_split,19,10122,1000,0.9761811792268645,-261.5644554245831
