method,seed,delta_crps_vs_equal,delta_gini_vs_equal,delta_hhi_vs_equal,delta_n_eff_vs_equal
equal,0,0.0,,0.0,0.0
stake_only,0,-0.0017240391078806455,,0.7942756781678152,-6.828052928888703
skill_only,0,-0.0005060630581965389,,0.0002501977965869151,-0.01565402943043903
blended,0,0.0,,0.0,0.0
bankroll,0,-0.0034797109090818554,,0.7862079261030464,-6.80997646114175
equal,1,0.0,,0.0,0.0
stake_only,1,-0.0004048058128498927,,0.7945634225928151,-6.8177030644818055
skill_only,1,-0.0005002366567130115,,0.00024678956104409733,-0.015415216205779458
blended,1,0.0,,0.0,0.0
bankroll,1,-0.0022576230707545067,,0.7869832426263677,-6.80015362193121
equal,2,0.0,,0.0,0.0
stake_only,2,-0.0014609288826693476,,0.7863784090100295,-6.805474595184359
skill_only,2,-0.000499739111964978,,0.00024802366306769796,-0.015469145389827688
blended,2,0.0,,0.0,0.0
bankroll,2,-0.0032937448158715313,,0.777887031377146,-6.786185062648631
equal,3,0.0,,0.0,0.0
stake_only,3,-0.0013512740143048138,,0.7979801831145461,-6.838068926954865
skill_only,3,-0.0005020703674159036,,0.0002475530242762314,-0.015475883449956207
blended,3,0.0,,0.0,0.0
bankroll,3,-0.003004415559883143,,0.790419787232192,-6.821169209673638
equal,4,0.0,,0.0,0.0
stake_only,4,-0.0006689857667430271,,0.7879607777213318,-6.812623709113845
skill_only,4,-0.0005011644461039785,,0.0002473413349005915,-0.01546051243198221
blended,4,0.0,,0.0,0.0
bankroll,4,-0.002786865764727267,,0.7800310306217966,-6.7942198920763035
equal,5,0.0,,0.0,0.0
stake_only,5,-0.0007466301608186066,,0.7983108325230761,-6.831376636001229
skill_only,5,-0.0004994899379434786,,0.0002482677392000032,-0.015511059666961202
blended,5,0.0,,0.0,0.0
bankroll,5,-0.0024782256114413773,,0.7906049130296466,-6.814743809631623
equal,6,0.0,,0.0,0.0
stake_only,6,-0.001458463985300619,,0.7968666325999356,-6.840916662914362
skill_only,6,-0.0005008433033912713,,0.0002465822761311409,-0.015470447252244668
blended,6,0.0,,0.0,0.0
bankroll,6,-0.003123859915113013,,0.7889959618896409,-6.822998548101944
equal,7,0.0,,0.0,0.0
stake_only,7,0.00030333985887970316,,0.7992126846643169,-6.8543749033527135
skill_only,7,-0.0004955333163310649,,0.00024405926090687036,-0.015336139305995644
blended,7,0.0,,0.0,0.0
bankroll,7,-0.0016631513008476331,,0.7917021668281866,-6.8377231981940465
equal,8,0.0,,0.0,0.0
