t,method,crps
299,uniform,0.016309
299,raja_history_free,0.014475
299,vitali_ogd_per_quantile,0.012145
299,mechanism,0.015515
300,uniform,0.016232
300,raja_history_free,0.014414
300,vitali_ogd_per_quantile,0.012094
300,mechanism,0.015454
301,uniform,0.01616
301,raja_history_free,0.01435
301,vitali_ogd_per_quantile,0.012037
301,mechanism,0.015393
302,uniform,0.016086
302,raja_history_free,0.014299
302,vitali_ogd_per_quantile,0.012061
302,mechanism,0.015335
303,uniform,0.015912
303,raja_history_free,0.01414
303,vitali_ogd_per_quantile,0.011941
303,mechanism,0.015179
304,uniform,0.015863
304,raja_history_free,0.014094
304,vitali_ogd_per_quantile,0.011912
304,mechanism,0.015142
305,uniform,0.015758
305,raja_history_free,0.013997
305,vitali_ogd_per_quantile,0.011851
305,mechanism,0.015047
306,uniform,0.015817
306,raja_history_free,0.014068
306,vitali_ogd_per_quantile,0.01195
306,mechanism,0.015119
307,uniform,0.015801
307,raja_history_free,0.014049
307,vitali_ogd_per_quantile,0.011932
307,mechanism,0.01511
308,uniform,0.015911
308,raja_history_free,0.014155
308,vitali_ogd_per_quantile,0.012031
308,mechanism,0.015221
309,uniform,0.016093
309,raja_history_free,0.014437
309,vitali_ogd_per_quantile,0.012437
309,mechanism,0.015459
310,uniform,0.016332
310,raja_history_free,0.014718
310,vitali_ogd_per_quantile,0.012701
310,mechanism,0.015716
311,uniform,0.016267
311,raja_history_free,0.014673
311,vitali_ogd_per_quantile,0.012791
311,mechanism,0.015673
312,uniform,0.016218
312,raja_history_free,0.014642
312,vitali_ogd_per_quantile,0.012771
312,mechanism,0.015642
313,uniform,0.016272
313,raja_history_free,0.014718
313,vitali_ogd_per_quantile,0.012848
313,mechanism,0.015707
314,uniform,0.016218
314,raja_history_free,0.014682
314,vitali_ogd_per_quantile,0.01292
314,mechanism,0.01567
315,uniform,0.016156
315,raja_history_free,0.014634
315,vitali_ogd_per_quantile,0.012894
315,mechanism,0.015624
316,uniform,0.01631
316,raja_history_free,0.014825
316,vitali_ogd_per_quantile,0.013103
316,mechanism,0.015789
317,uniform,0.016222
317,raja_history_free,0.01475
317,vitali_ogd_per_quantile,0.013086
317,mechanism,0.015714
318,uniform,0.016148
318,raja_history_free,0.014692
318,vitali_ogd_per_quantile,0.013044
318,mechanism,0.015652
319,uniform,0.016108
319,raja_history_free,0.014675
319,vitali_ogd_per_quantile,0.013104
319,mechanism,0.015631
320,uniform,0.016497
320,raja_history_free,0.015111
320,vitali_ogd_per_quantile,0.013653
320,mechanism,0.016036
