t,method,crps
372,uniform,0.048711
372,raja_history_free,0.048215
372,vitali_ogd_per_quantile,0.043405
372,mechanism,0.04602
373,uniform,0.048597
373,raja_history_free,0.048105
373,vitali_ogd_per_quantile,0.043324
373,mechanism,0.045928
374,uniform,0.048724
374,raja_history_free,0.048237
374,vitali_ogd_per_quantile,0.043438
374,mechanism,0.046063
375,uniform,0.048542
375,raja_history_free,0.048049
375,vitali_ogd_per_quantile,0.043211
375,mechanism,0.045867
376,uniform,0.04858
376,raja_history_free,0.048092
376,vitali_ogd_per_quantile,0.043263
376,mechanism,0.045913
377,uniform,0.048704
377,raja_history_free,0.048221
377,vitali_ogd_per_quantile,0.043375
377,mechanism,0.046035
378,uniform,0.048793
378,raja_history_free,0.048309
378,vitali_ogd_per_quantile,0.043408
378,mechanism,0.046099
379,uniform,0.049232
379,raja_history_free,0.048737
379,vitali_ogd_per_quantile,0.043691
379,mechanism,0.046461
380,uniform,0.04986
380,raja_history_free,0.049335
380,vitali_ogd_per_quantile,0.044121
380,mechanism,0.046934
381,uniform,0.049969
381,raja_history_free,0.049426
381,vitali_ogd_per_quantile,0.044021
381,mechanism,0.046834
382,uniform,0.049888
382,raja_history_free,0.049377
382,vitali_ogd_per_quantile,0.044303
382,mechanism,0.046991
383,uniform,0.050049
383,raja_history_free,0.049552
383,vitali_ogd_per_quantile,0.044544
383,mechanism,0.047208
384,uniform,0.049197
384,raja_history_free,0.048682
384,vitali_ogd_per_quantile,0.043561
384,mechanism,0.046273
385,uniform,0.049644
385,raja_history_free,0.049127
385,vitali_ogd_per_quantile,0.043947
385,mechanism,0.04675
386,uniform,0.049887
386,raja_history_free,0.049361
386,vitali_ogd_per_quantile,0.044063
386,mechanism,0.046992
387,uniform,0.050813
387,raja_history_free,0.050276
387,vitali_ogd_per_quantile,0.044883
387,mechanism,0.047861
388,uniform,0.051222
388,raja_history_free,0.050657
388,vitali_ogd_per_quantile,0.045012
388,mechanism,0.048077
389,uniform,0.051032
389,raja_history_free,0.050441
389,vitali_ogd_per_quantile,0.04454
389,mechanism,0.047632
390,uniform,0.050715
390,raja_history_free,0.0501
390,vitali_ogd_per_quantile,0.044129
390,mechanism,0.047214
391,uniform,0.050751
391,raja_history_free,0.050131
391,vitali_ogd_per_quantile,0.044112
391,mechanism,0.047231
392,uniform,0.050574
392,raja_history_free,0.049954
392,vitali_ogd_per_quantile,0.043941
392,mechanism,0.047078
393,uniform,0.050687
393,raja_history_free,0.050067
393,vitali_ogd_per_quantile,0.043964
393,mechanism,0.047143
394,uniform,0.050525
394,raja_history_free,0.049908
394,vitali_ogd_per_quantile,0.043757
394,mechanism,0.046967
395,uniform,0.050477
395,raja_history_free,0.049867
395,vitali_ogd_per_quantile,0.043697
395,mechanism,0.04692
396,uniform,0.050417
396,raja_history_free,0.049815
396,vitali_ogd_per_quantile,0.043634
396,mechanism,0.046869
397,uniform,0.050359
397,raja_history_free,0.049765
397,vitali_ogd_per_quantile,0.043562
397,mechanism,0.046816
398,uniform,0.050325
398,raja_history_free,0.049728
398,vitali_ogd_per_quantile,0.04351
398,mechanism,0.046777
399,uniform,0.049862
399,raja_history_free,0.049239
399,vitali_ogd_per_quantile,0.043017
399,mechanism,0.046275
400,uniform,0.049382
400,raja_history_free,0.048769
400,vitali_ogd_per_quantile,0.042437
400,mechanism,0.045751
401,uniform,0.048438
401,raja_history_free,0.047843
401,vitali_ogd_per_quantile,0.041517
401,mechanism,0.044833
402,uniform,0.047962
402,raja_history_free,0.047385
402,vitali_ogd_per_quantile,0.041169
402,mechanism,0.044337
403,uniform,0.049255
403,raja_history_free,0.048689
403,vitali_ogd_per_quantile,0.04251
403,mechanism,0.045656
404,uniform,0.050258
404,raja_history_free,0.049673
404,vitali_ogd_per_quantile,0.043166
404,mechanism,0.046623
405,uniform,0.050153
405,raja_history_free,0.049568
405,vitali_ogd_per_quantile,0.04338
405,mechanism,0.046619
406,uniform,0.050238
406,raja_history_free,0.049622
406,vitali_ogd_per_quantile,0.043381
406,mechanism,0.046667
407,uniform,0.050191
407,raja_history_free,0.049551
